Sectores/unidad;Periodo;Total
Total (equivalencia a jornada completa);1981;36.221
Administración Pública: Total (equivalencia a jornada completa);2007;37.919
Administración Pública: Total (equivalencia a jornada completa);2006;34.588
Administración Pública: Total (equivalencia a jornada completa);2005;32.077
Administración Pública: Total (equivalencia a jornada completa);2004;27.166
Administración Pública: Total (equivalencia a jornada completa);2003;25.760
Administración Pública: Total (equivalencia a jornada completa);2002;23.211
Administración Pública: Total (equivalencia a jornada completa);2001(*);23.483
Administración Pública: Total (equivalencia a jornada completa);2001;23.468
Administración Pública: Total (equivalencia a jornada completa);2000;22.400
Administración Pública: Total (equivalencia a jornada completa);1998;20.170
Administración Pública: Total (equivalencia a jornada completa);1997;19.189
Administración Pública: Total (equivalencia a jornada completa);1996;17.866
Administración Pública: Total (equivalencia a jornada completa);1995;17.153
Administración Pública: Total (equivalencia a jornada completa);1994;17.546
Administración Pública: Total (equivalencia a jornada completa);1993;17.266
Administración Pública: Total (equivalencia a jornada completa);1992;16.678
Administración Pública: Total (equivalencia a jornada completa);1991;17.519
Administración Pública: Total (equivalencia a jornada completa);1990;17.170
Administración Pública: Total (equivalencia a jornada completa);1988;13.747
Administración Pública: Total (equivalencia a jornada completa);1987;12.643
Administración Pública: Total (equivalencia a jornada completa);1986;11.636
Administración Pública: Total (equivalencia a jornada completa);1985;10.031
Administración Pública: Total (equivalencia a jornada completa);1984;10.695
Administración Pública: Total (equivalencia a jornada completa);1983;10.213
Administración Pública: Total (equivalencia a jornada completa);1982;10.595
Administración Pública: Total (equivalencia a jornada completa);1981;11.805
Administración Pública: %;2008;19
Administración Pública: %;2006;18
Administración Pública: %;2005;18
Administración Pública: %;2004;17
Administración Pública: %;2003;17
Administración Pública: %;2002;17
Administración Pública: %;2001(*);18
Administración Pública: %;2001;19
Administración Pública: %;2000;19
Administración Pública: %;1999;22
Administración Pública: %;1997;22
Administración Pública: %;1996;20
Administración Pública: %;1995;22
Administración Pública: %;1994;22
Administración Pública: %;1993;23
Administración Pública: %;1992;23
Administración Pública: %;1991;24
Administración Pública: %;1990;24
Administración Pública: %;1989;23
Administración Pública: %;1987;26
Administración Pública: %;1986;26
Administración Pública: %;1985;25
Administración Pública: %;1984;27
Administración Pública: %;1983;28
Administración Pública: %;1982;30
Administración Pública: %;1981;33
Enseñanza superior: Total (equivalencia a jornada completa);2008;78.846
Enseñanza superior: Total (equivalencia a jornada completa);2007;75.148
Enseñanza superior: Total (equivalencia a jornada completa);2005;66.996
Enseñanza superior: Total (equivalencia a jornada completa);2004;63.331
Enseñanza superior: Total (equivalencia a jornada completa);2003;60.307
Enseñanza superior: Total (equivalencia a jornada completa);2002;54.233
Enseñanza superior: Total (equivalencia a jornada completa);2001(*);54.623
Enseñanza superior: Total (equivalencia a jornada completa);2001;54.623
Enseñanza superior: Total (equivalencia a jornada completa);2000;49.470
Enseñanza superior: Total (equivalencia a jornada completa);1999;40.626
Enseñanza superior: Total (equivalencia a jornada completa);1998;41.041
Enseñanza superior: Total (equivalencia a jornada completa);1996;38.956
Enseñanza superior: Total (equivalencia a jornada completa);1995;34.330
Enseñanza superior: Total (equivalencia a jornada completa);1994;34.642
Enseñanza superior: Total (equivalencia a jornada completa);1993;29.839
Enseñanza superior: Total (equivalencia a jornada completa);1992;27.553
Enseñanza superior: Total (equivalencia a jornada completa);1991;25.360
Enseñanza superior: Total (equivalencia a jornada completa);1990;23.654
Enseñanza superior: Total (equivalencia a jornada completa);1989;22.500
Enseñanza superior: Total (equivalencia a jornada completa);1988;16.912
Enseñanza superior: Total (equivalencia a jornada completa);1986;14.305
Total (equivalencia a jornada completa);2000;120.618
Total (equivalencia a jornada completa);1990;69.684
Administración Pública: Total (equivalencia a jornada completa);2008;41.139
Administración Pública: Total (equivalencia a jornada completa);1999;22.283
Administración Pública: Total (equivalencia a jornada completa);1989;14.606
Administración Pública: %;2007;19
Administración Pública: %;1998;21
Administración Pública: %;1988;25
Enseñanza superior: Total (equivalencia a jornada completa);2006;70.950
Enseñanza superior: Total (equivalencia a jornada completa);1997;36.843
Enseñanza superior: Total (equivalencia a jornada completa);1987;15.100
Enseñanza superior: %;2005;38
Enseñanza superior: %;1996;45
Enseñanza superior: %;1986;31
Empresas: Total (equivalencia a jornada completa);2004;71.123
Empresas: Total (equivalencia a jornada completa);1995;27.557
Empresas: Total (equivalencia a jornada completa);1985;16.860
Empresas: %;2003;43
Empresas: %;1994;34
Empresas: %;1984;38
IPSFL: Total (equivalencia a jornada completa);2002;477
IPSFL: Total (equivalencia a jornada completa);1993;848
IPSFL: Total (equivalencia a jornada completa);1983;..
IPSFL: %;2001(*);1
IPSFL: %;1992;1
IPSFL: %;1982;..
